"name";"gender";"birthDate";"birthCity";"birthCountry";"birthContinent";"awardYear";"category";"awardDate";"motivation";"prizeAmount";"prizeAmountAdjusted"
"Herbert C. Brown";"male";"1912-05-22";"London";"United Kingdom";"Europe";"1979";"The Nobel Prize in Chemistry";"1979-10-15";"for their development of the use of boron- and phosphorus-containing compounds, respectively, into important reagents in organic synthesis";800000;3042231
"Herbert Kroemer";"male";"1928-08-25";"Weimar";"Germany";"Europe";"2000";"The Nobel Prize in Physics";"2000-10-10";"for developing semiconductor heterostructures used in high-speed- and opto-electronics";9000000;11538617
"Herbert S. Gasser";"male";"1888-07-05";"Platteville, WI";"USA";"North America";"1944";"The Nobel Prize in Physiology or Medicine";NA;"for their discoveries relating to the highly differentiated functions of single nerve fibres";121841;2555983
"Herbert Simon";"male";"1916-06-15";"Milwaukee, WI";"USA";"North America";"1978";"The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel";"1978-10-16";"for his pioneering research into the decision-making process within economic organizations";725000;2951013
"Hermann Hesse";"male";"1877-07-02";"Calw";"Germany";"Europe";"1946";"The Nobel Prize in Literature";NA;"for his inspired writings which, while growing in boldness and penetration, exemplify the classical humanitarian ideals and high qualities of style";121524;2549333
"Hermann J. Muller";"male";"1890-12-21";"New York, NY";"USA";"North America";"1946";"The Nobel Prize in Physiology or Medicine";NA;"for the discovery of the production of mutations by means of X-ray irradiation";121524;2549333
"Hermann Staudinger";"male";"1881-03-23";"Worms";"Germany";"Europe";"1953";"The Nobel Prize in Chemistry";NA;"for his discoveries in the field of macromolecular chemistry";175293;2614331
"Herta Müller";"female";"1953-08-17";"Nitzkydorf, Banat";"Romania";"Europe";"2009";"The Nobel Prize in Literature";"2009-10-08";"who, with the concentration of poetry and the frankness of prose, depicts the landscape of the dispossessed";10000000;11157218
"Hideki Shirakawa";"male";"1936-08-20";"Tokyo";"Japan";"Asia";"2000";"The Nobel Prize in Chemistry";"2000-10-10";"for the discovery and development of conductive polymers";9000000;11538617
"Hideki Yukawa";"male";"1907-01-23";"Tokyo";"Japan";"Asia";"1949";"The Nobel Prize in Physics";NA;"for his prediction of the existence of mesons on the basis of theoretical work on nuclear forces";156290;2983576
"Hiroshi Amano";"male";"1960-09-11";"Hamamatsu";"Japan";"Asia";"2014";"The Nobel Prize in Physics";"2014-10-07";"for the invention of efficient blue light-emitting diodes which has enabled bright and energy-saving white light sources";8000000;8531844
"Hjalmar Branting";"male";"1860-11-23";"Stockholm";"Sweden";"Europe";"1921";"The Nobel Peace Prize";"1921-12-10";"for their lifelong contributions to the cause of peace and organized internationalism";121573;2578698
"Horst L. Störmer";"male";"1949-04-06";"Frankfurt-on-the-Main";"West Germany";"Europe";"1998";"The Nobel Prize in Physics";"1998-10-13";"for their discovery of a new form of quantum fluid with fractionally charged excitations";7600000;9889843
"Howard M. Temin";"male";"1934-12-10";"Philadelphia, PA";"USA";"North America";"1975";"The Nobel Prize in Physiology or Medicine";"1975-10-16";"for their discoveries concerning the interaction between tumour viruses and the genetic material of the cell";630000;3465908
"Hugo Theorell";"male";"1903-07-06";"Linköping";"Sweden";"Europe";"1955";"The Nobel Prize in Physiology or Medicine";"1955-10-20";"for his discoveries concerning the nature and mode of action of oxidation enzymes";190214;2730214
"Igor Y. Tamm";"male";"1895-07-08";"Vladivostok";"Russia";"Europe";"1958";"The Nobel Prize in Physics";NA;"for the discovery and the interpretation of the Cherenkov effect";214559;2694692
"Il´ja M. Frank";"male";"1908-10-23";"Leningrad";"Russia";"Europe";"1958";"The Nobel Prize in Physics";NA;"for the discovery and the interpretation of the Cherenkov effect";214559;2694692
"Ilya Mechnikov";"male";"1845-05-15";"Kharkov";"Russian Empire";"Europe";"1908";"The Nobel Prize in Physiology or Medicine";NA;"in recognition of their work on immunity";139800;7212924
"Ilya Prigogine";"male";"1917-01-25";"Moscow";"Russia";"Europe";"1977";"The Nobel Prize in Chemistry";"1977-10-11";"for his contributions to non-equilibrium thermodynamics, particularly the theory of dissipative structures";700000;3136854
"Imre Kertész";"male";"1929-11-09";"Budapest";"Hungary";"Europe";"2002";"The Nobel Prize in Literature";"2002-10-10";"for writing that upholds the fragile experience of the individual against the barbaric arbitrariness of history";10000000;12252888
NA;NA;NA;NA;NA;NA;"1904";"The Nobel Peace Prize";"1904-12-10";"for its striving in public law to develop peaceful ties between nations and to make the laws of war more humane";140859;7908819
NA;NA;NA;NA;NA;NA;"2007";"The Nobel Peace Prize";"2007-10-12";"for their efforts to build up and disseminate greater knowledge about man-made climate change, and to lay the foundations for the measures that are needed to counteract such change";10000000;11506932
NA;NA;NA;NA;NA;NA;"2005";"The Nobel Peace Prize";"2005-10-07";"for their efforts to prevent nuclear energy from being used for military purposes and to ensure that nuclear energy for peaceful purposes is used in the safest possible way";10000000;11923798
NA;NA;NA;NA;NA;NA;"2017";"The Nobel Peace Prize";"2017-10-06";"for its work to draw attention to the catastrophic humanitarian consequences of any use of nuclear weapons and for its ground-breaking efforts to achieve a treaty-based prohibition of such weapons";9000000;9342577
NA;NA;NA;NA;NA;NA;"1997";"The Nobel Peace Prize";"1997-10-10";"for their work for the banning and clearing of anti-personnel mines";7500000;9746426
NA;NA;NA;NA;NA;NA;"1917";"The Nobel Peace Prize";"1917-12-10";"for the efforts to take care of wounded soldiers and prisoners of war and their families";133823;3991689
NA;NA;NA;NA;NA;NA;"1944";"The Nobel Peace Prize";"1945-11-12";"for the great work it has performed during the war on behalf of humanity";121841;2555983
NA;NA;NA;NA;NA;NA;"1963";"The Nobel Peace Prize";"1963-10-10";"for promoting the principles of the Geneva Convention and cooperation with the UN";265000;2890771
NA;NA;NA;NA;NA;NA;"1969";"The Nobel Peace Prize";"1969-10-20";"for creating international legislation insuring certain norms for working conditions in every country";375000;3239253
NA;NA;NA;NA;NA;NA;"1985";"The Nobel Peace Prize";"1985-10-05";"for spreading authoritative information and by creating awareness of the catastrophic consequences of nuclear war";1800000;3913667
"Irène Joliot-Curie";NA;NA;NA;NA;NA;"1935";"The Nobel Prize in Chemistry";NA;"in recognition of their synthesis of new radioactive elements";159917;5088026
"Irving Langmuir";NA;NA;NA;NA;NA;"1932";"The Nobel Prize in Chemistry";NA;"for his discoveries and investigations in surface chemistry";171753;5375024
"Irwin Rose";NA;NA;NA;NA;NA;"2004";"The Nobel Prize in Chemistry";"2004-10-06";"for the discovery of ubiquitin-mediated protein degradation";10000000;11976161
"Isaac Bashevis Singer";NA;NA;NA;NA;NA;"1978";"The Nobel Prize in Literature";NA;"for his impassioned narrative art which, with roots in a Polish-Jewish cultural tradition, brings universal human conditions to life";725000;2951013
"Isamu Akasaki";NA;NA;NA;NA;NA;"2014";"The Nobel Prize in Physics";"2014-10-07";"for the invention of efficient blue light-emitting diodes which has enabled bright and energy-saving white light sources";8000000;8531844
"Isidor Isaac Rabi";NA;NA;NA;NA;NA;"1944";"The Nobel Prize in Physics";NA;"for his resonance method for recording the magnetic properties of atomic nuclei";121841;2555983
"Ivan Bunin";NA;NA;NA;NA;NA;"1933";"The Nobel Prize in Literature";NA;"for the strict artistry with which he has carried on the classical Russian traditions in prose writing";170332;5511251
"Ivan Pavlov";NA;NA;NA;NA;NA;"1904";"The Nobel Prize in Physiology or Medicine";NA;"in recognition of his work on the physiology of digestion, through which knowledge on vital aspects of the subject has been transformed and enlarged";140859;7908819
"Ivar Giaever";NA;NA;NA;NA;NA;"1973";"The Nobel Prize in Physics";"1973-10-23";"for their experimental discoveries regarding tunneling phenomena in semiconductors and superconductors, respectively";510000;3392300
"Ivo Andric";NA;NA;NA;NA;NA;"1961";"The Nobel Prize in Literature";NA;"for the epic force with which he has traced themes and depicted human destinies drawn from the history of his country";250233;2930643
"J. Georg Bednorz";NA;NA;NA;NA;NA;"1987";"The Nobel Prize in Physics";"1987-10-14";"for their important break-through in the discovery of superconductivity in ceramic materials";2175000;4352280
"J. Hans D. Jensen";NA;NA;NA;NA;NA;"1963";"The Nobel Prize in Physics";NA;"for their discoveries concerning nuclear shell structure";265000;2890771
"J. M. Coetzee";NA;NA;NA;NA;NA;"2003";"The Nobel Prize in Literature";"2003-10-02";"who in innumerable guises portrays the surprising involvement of the outsider";10000000;12021411
"J. Michael Bishop";NA;NA;NA;NA;NA;"1989";"The Nobel Prize in Physiology or Medicine";"1989-10-09";"for their discovery of the cellular origin of retroviral oncogenes";3000000;5337372
"J. Michael Kosterlitz";NA;NA;NA;NA;NA;"2016";"The Nobel Prize in Physics";"2016-10-04";"for theoretical discoveries of topological phase transitions and topological phases of matter";8000000;8451577
"J. Robin Warren";NA;NA;NA;NA;NA;"2005";"The Nobel Prize in Physiology or Medicine";"2005-10-03";"for their discovery of the bacterium <i>Helicobacter pylori</i> and its role in gastritis and peptic ulcer disease";10000000;11923798
"J.J. Thomson";NA;NA;NA;NA;NA;"1906";"The Nobel Prize in Physics";NA;"in recognition of the great merits of his theoretical and experimental investigations on the conduction of electricity by gases";138536;7556149
"Jacinto Benavente";NA;NA;NA;NA;NA;"1922";"The Nobel Prize in Literature";NA;"for the happy manner in which he has continued the illustrious traditions of the Spanish drama";122483;3203014
"Jack Kilby";"male";"1923-11-08";"Jefferson City, MO";"USA";"North America";"2000";"The Nobel Prize in Physics";"2000-10-10";"for his part in the invention of the integrated circuit";9000000;11538617
"Jack Steinberger";"male";"1921-05-25";"Bad Kissingen";"Germany";"Europe";"1988";"The Nobel Prize in Physics";"1988-10-19";"for the neutrino beam method and the demonstration of the doublet structure of the leptons through the discovery of the muon neutrino";2500000;4729931
"Jack W. Szostak";"male";"1952-11-09";"London";"United Kingdom";"Europe";"2009";"The Nobel Prize in Physiology or Medicine";NA;"for the discovery of how chromosomes are protected by telomeres and the enzyme telomerase";10000000;11157218
"Jacobus H. van 't Hoff";"male";"1852-08-30";"Rotterdam";"the Netherlands";"Europe";"1901";"The Nobel Prize in Chemistry";NA;"in recognition of the extraordinary services he has rendered by the discovery of the laws of chemical dynamics and osmotic pressure in solutions";150782;8722510
"Jacques Dubochet";"male";"1942-06-08";"Aigle";"Switzerland";"Europe";"2017";"The Nobel Prize in Chemistry";"2017-10-04";"for developing cryo-electron microscopy for the high-resolution structure determination of biomolecules in solution";9000000;9342577
"Jacques Monod";"male";"1910-02-09";"Paris";"France";"Europe";"1965";"The Nobel Prize in Physiology or Medicine";NA;"for their discoveries concerning genetic control of enzyme and virus synthesis";282000;2833358
"James A. Mirrlees";"male";"1936-07-05";"Minnigaff";"Scotland";"Europe";"1996";"The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel";"1996-10-08";"for their fundamental contributions to the economic theory of incentives under asymmetric information";7400000;9662517
"James B. Sumner";"male";"1887-11-19";"Canton, MA";"USA";"North America";"1946";"The Nobel Prize in Chemistry";NA;"for his discovery that enzymes can be crystallized";121524;2549333
"James Chadwick";"male";"1891-10-20";"Manchester";"United Kingdom";"Europe";"1935";"The Nobel Prize in Physics";NA;"for the discovery of the neutron";159917;5088026
"James Cronin";"male";"1931-09-29";"Chicago, IL";"USA";"North America";"1980";"The Nobel Prize in Physics";"1980-10-12";"for the discovery of violations of fundamental symmetry principles in the decay of neutral K-mesons";880000;2942067
"James E. Meade";"male";"1907-06-23";"Swanage";"United Kingdom";"Europe";"1977";"The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel";"1977-10-14";"for their pathbreaking contribution to the theory of international trade and international capital movements";700000;3136854
"James E. Rothman";"male";"1950-11-03";"Haverhill, MA";"USA";"North America";"2013";"The Nobel Prize in Physiology or Medicine";NA;"for their discoveries of machinery regulating vesicle traffic, a major transport system in our cells";8000000;8517568
"James Franck";"male";"1882-08-26";"Hamburg";"Germany";"Europe";"1925";"The Nobel Prize in Physics";NA;"for their discovery of the laws governing the impact of an electron upon an atom";118165;3269232
